problem_name,size,optimal_solution,bees_result,bees_best,bees_time,genetic_result,genetic_best,genetic_time
lipa20b.dat,20,27076,30853.333333333332,30716,10.5934579372406,30523.0,29518,24.710795640945435
lipa30b.dat,30,151426,176668.0,174622,17.12820275624593,176785.0,174501,33.46082631746928
lipa40b.dat,40,476581,562103.3333333334,560073,24.80453872680664,575282.3333333334,574372,49.29197231928507
lipa50b.dat,50,1210244,1435509.3333333333,1431680,39.94575309753418,1468415.3333333333,1466592,76.82071661949158
lipa60b.dat,60,2520135,3031398.0,3023586,58.986714363098145,3126248.3333333335,3107136,110.02097360293071
lipa70b.dat,70,4603200,5582668.333333333,5573788,90.0888573328654,5727386.0,5702784,158.49142066637674
lipa80b.dat,80,7763962,9488474.666666666,9468129,133.11489367485046,9727278.333333334,9679850,217.08925318717957
lipa90b.dat,90,12490441,15346882.333333334,15316514,176.39864563941956,15694497.0,15674327,266.7313503424327
