problem_name,size,optimal_solution,bees_result,bees_time,genetic_result,genetic_time
lipa20b.dat,20,27076,28301.666666666668,96.08017897605896,29807.0,37.906633138656616
lipa30b.dat,30,151426,166848.0,145.91786773999533,180462.0,56.588028271993004
lipa40b.dat,40,476581,503226.6666666667,256.31627742449444,577063.3333333334,100.05247505505879
lipa50b.dat,50,1210244,1417029.6666666667,419.17448989550275,1472337.0,159.64324601491293
lipa60b.dat,60,2520135,2999330.6666666665,672.8319402535757,3139207.6666666665,221.99399534861246
lipa70b.dat,70,4603200,5505403.0,1065.1863247553508,5723048.0,271.2301797072093
lipa80b.dat,80,7763962,9430129.0,1477.9889814853668,9911976.333333334,350.78981987635296
lipa90b.dat,90,12490441,15207078.0,2058.2553675174713,15813189.666666666,433.4249064922333
