problem_name,size,optimal_solution,random_result,random_best,random_time
lipa20b.dat,20,27076,32954.666666666664,32912,3.6481319268544516
lipa30b.dat,30,151426,186331.0,185909,6.685711781183879
lipa40b.dat,40,476581,598213.3333333334,596241,13.900439739227295
lipa50b.dat,50,1210244,1515121.6666666667,1514670,23.133171161015827
lipa60b.dat,60,2520135,3192775.3333333335,3185595,36.080049435297646
lipa70b.dat,70,4603200,5863906.333333333,5860408,60.41640671094259
lipa80b.dat,80,7763962,9956602.333333334,9940081,95.12045494715373
lipa90b.dat,90,12490441,16042460.0,16033059,120.22173031171162
